num,day,date,vs,opponent,winloss,teamscore,oppscore,weekday,sun,mon,tue,wed,thu,fri,sat,month,april,may,june,july,aug,win,loss,wins,losses,gamenum,winpct,att,poster,jersey,bobblehead,tshirt
1,Thu,4/4/19,vs,Pawtucket,L, 3 , 6,5,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,1,1,0,8823,0,0,0,0
2,Sat,4/6/19,vs,Pawtucket,W, 6 , 3,7,0,0,0,0,0,0,1,4,1,0,0,0,0,1,0,1,1,2,0.5,4135,0,0,0,0
3,Sat,4/6/19,vs,Pawtucket,W, 4 , 3,7,0,0,0,0,0,0,1,4,1,0,0,0,0,1,0,2,1,3,0.666666667,4136,0,0,0,0
4,Sun,4/7/19,vs,Pawtucket,W, 6 , 5,1,1,0,0,0,0,0,0,4,1,0,0,0,0,1,0,3,1,4,0.75,6761,0,0,0,0
5,Mon,4/8/19,vs,Rochester,W, 5 , 4,2,0,1,0,0,0,0,0,4,1,0,0,0,0,1,0,4,1,5,0.8,1787,0,0,0,0
6,Tue,4/9/19,vs,Rochester,W, 7 , 5,3,0,0,1,0,0,0,0,4,1,0,0,0,0,1,0,5,1,6,0.833333333,1224,0,0,0,0
7,Wed,4/10/19,vs,Rochester,L, 2 , 8,4,0,0,0,1,0,0,0,4,1,0,0,0,0,0,1,5,2,7,0.714285714,1271,0,0,0,0
8,Sat,4/20/19,vs,Pawtucket,W, 5 , 2,7,0,0,0,0,0,0,1,4,1,0,0,0,0,1,0,6,2,8,0.75,4347,0,0,0,0
9,Sat,4/20/19,vs,Pawtucket,W, 3 , 2,7,0,0,0,0,0,0,1,4,1,0,0,0,0,1,0,7,2,9,0.777777778,4348,0,0,0,0
10,Sun,4/21/19,vs,Pawtucket,W, 4 , 1,1,1,0,0,0,0,0,0,4,1,0,0,0,0,1,0,8,2,10,0.8,3211,0,0,0,0
11,Mon,4/22/19,vs,Buffalo,W, 7 , 3,2,0,1,0,0,0,0,0,4,1,0,0,0,0,1,0,9,2,11,0.818181818,2898,0,0,0,0
12,Tue,4/23/19,vs,Buffalo,W, 2 , 0,3,0,0,1,0,0,0,0,4,1,0,0,0,0,1,0,10,2,12,0.833333333,1884,0,0,0,0
13,Wed,4/24/19,vs,Buffalo,L, 4 , 5,4,0,0,0,1,0,0,0,4,1,0,0,0,0,0,1,10,3,13,0.769230769,3802,0,0,0,0
14,Thu,4/25/19,vs,Buffalo,W, 8 , 7,5,0,0,0,0,1,0,0,4,1,0,0,0,0,1,0,11,3,14,0.785714286,3918,0,0,0,0
15,Fri,5/3/19,vs,Scranton/WB,L, 1 , 9,6,0,0,0,0,0,1,0,5,0,1,0,0,0,0,1,11,4,15,0.733333333,2728,0,0,0,0
16,Sat,5/4/19,vs,Scranton/WB,L, 2 , 4,7,0,0,0,0,0,0,1,5,0,1,0,0,0,0,1,11,5,16,0.6875,4833,0,0,0,0
